transcript_id	gene	transcript_type	tsl	biotype
ENST00000335272	PITPNB	E	.	protein_coding
NM_001284277.2	PITPNB	R	.	protein_coding
NM_001284278.2	PITPNB	R	.	protein_coding
NM_012399.5	PITPNB	R	.	protein_coding
XM_011530052.3	PITPNB	R	.	protein_coding
XM_047441269.1	PITPNB	R	.	protein_coding
ENST00000634017	PITPNB	E	.	protein_coding
ENST00000477861	PITPNB	E	.	retained_intron
ENST00000493007	PITPNB	E	.	retained_intron
ENST00000415296	PITPNB	E	.	protein_coding
ENST00000436663	PITPNB	E	.	protein_coding
XM_017028707.2	PITPNB	R	.	protein_coding
ENST00000465179	PITPNB	E	.	retained_intron
ENST00000460566	PITPNB	E	.	retained_intron
ENST00000471825	PITPNB	E	.	retained_intron
ENST00000417381	TTC28-AS1	E	.	lncRNA
ENST00000417497	TTC28-AS1	E	.	lncRNA
ENST00000419253	TTC28-AS1	E	.	lncRNA
ENST00000424161	TTC28-AS1	E	.	lncRNA
ENST00000425112	TTC28-AS1	E	.	lncRNA
ENST00000428818	TTC28-AS1	E	.	lncRNA
ENST00000428858	TTC28-AS1	E	.	retained_intron
ENST00000430853	TTC28-AS1	E	.	lncRNA
ENST00000434221	TTC28-AS1	E	.	lncRNA
ENST00000435348	TTC28-AS1	E	.	lncRNA
ENST00000436996	TTC28-AS1	E	.	retained_intron
ENST00000437713	TTC28-AS1	E	.	lncRNA
ENST00000452612	TTC28-AS1	E	.	lncRNA
ENST00000453632	TTC28-AS1	E	.	lncRNA
ENST00000454741	TTC28-AS1	E	.	lncRNA
ENST00000454996	TTC28-AS1	E	.	lncRNA
ENST00000582434	MIR3199-1	E	.	miRNA
ENST00000614690	.	E	.	misc_RNA
ENST00000636243	MIR3199-2	E	.	miRNA
ENST00000654553	TTC28-AS1	E	.	lncRNA
ENST00000655332	TTC28-AS1	E	.	lncRNA
ENST00000659843	TTC28-AS1	E	.	lncRNA
ENST00000662329	TTC28-AS1	E	.	lncRNA
ENST00000662424	TTC28-AS1	E	.	lncRNA
ENST00000662682	TTC28-AS1	E	.	lncRNA
ENST00000664946	TTC28-AS1	E	.	lncRNA
ENST00000665376	TTC28-AS1	E	.	lncRNA
ENST00000665505	TTC28-AS1	E	.	lncRNA
ENST00000669227	TTC28-AS1	E	.	lncRNA
ENST00000670585	TTC28-AS1	E	.	lncRNA
ENST00000670661	TTC28-AS1	E	.	lncRNA
ENST00000688200	TTC28-AS1	E	.	lncRNA
ENST00000690710	TTC28-AS1	E	.	lncRNA
ENST00000702093	TTC28-AS1	E	.	lncRNA
ENST00000723558	TTC28-AS1	E	.	lncRNA
ENST00000723559	TTC28-AS1	E	.	lncRNA
ENST00000723560	TTC28-AS1	E	.	lncRNA
ENST00000723561	TTC28-AS1	E	.	lncRNA
ENST00000723562	TTC28-AS1	E	.	lncRNA
ENST00000723563	TTC28-AS1	E	.	lncRNA
ENST00000723564	TTC28-AS1	E	.	lncRNA
ENST00000723565	TTC28-AS1	E	.	lncRNA
ENST00000723566	TTC28-AS1	E	.	lncRNA
ENST00000723567	TTC28-AS1	E	.	lncRNA
ENST00000723568	TTC28-AS1	E	.	lncRNA
ENST00000723569	TTC28-AS1	E	.	lncRNA
ENST00000723570	TTC28-AS1	E	.	lncRNA
ENST00000723571	TTC28-AS1	E	.	lncRNA
ENST00000723572	TTC28-AS1	E	.	lncRNA
ENST00000723573	TTC28-AS1	E	.	lncRNA
ENST00000723574	TTC28-AS1	E	.	lncRNA
NR_026962.1	TTC28-AS1	R	.	lncRNA
NR_026963.1	TTC28-AS1	R	.	lncRNA
NR_036169.1	MIR3199-1	R	.	miRNA
NR_036170.1	MIR3199-2	R	.	miRNA
ENST00000611117	.	E	.	misc_RNA
ENSR22_C4QRK	.	E	.	enhancer
ENSR22_9F47H	.	E	.	promoter
ENST00000723764	.	E	.	lncRNA
ENSR22_C4QRN	.	E	.	enhancer
ENST00000723765	.	E	.	lncRNA
ENSR22_9F4BQ	.	E	.	enhancer
ENST00000654619	TTC28-AS1	E	.	lncRNA
ENSR22_B7JSJ	.	E	.	enhancer
ENST00000397906	TTC28	E	.	protein_coding
ENST00000612946	TTC28	E	.	protein_coding
NM_001145418.2	TTC28	R	.	protein_coding
NM_001393403.1	TTC28	R	.	protein_coding
NM_001393404.1	TTC28	R	.	protein_coding
NM_001393405.1	TTC28	R	.	protein_coding
XM_011530018.4	TTC28	R	.	protein_coding
XM_017028673.3	TTC28	R	.	protein_coding
XM_047441214.1	TTC28	R	.	protein_coding
XM_047441215.1	TTC28	R	.	protein_coding
ENST00000431039	TTC28	E	.	protein_coding
ENST00000480563	TTC28	E	.	retained_intron
ENST00000428584	TTC28-AS1	E	.	lncRNA
ENST00000655196	TTC28-AS1	E	.	lncRNA
ENSR22_9F4XB	.	E	.	enhancer
ENST00000433317	TTC28-AS1	E	.	lncRNA
ENST00000469670	TTC28	E	.	retained_intron
ENST00000540665	TTC28-AS1	E	.	lncRNA
ENST00000615579	.	E	.	misc_RNA
ENST00000665529	TTC28-AS1	E	.	lncRNA
ENSR22_9F4Z9	.	E	.	enhancer
ENST00000663167	TTC28-AS1	E	.	lncRNA
ENST00000654312	TTC28-AS1	E	.	lncRNA
ENST00000619378	.	E	.	misc_RNA
ENSR22_8S877	.	E	.	enhancer
XM_011530019.3	TTC28	R	.	protein_coding
XM_011530021.4	TTC28	R	.	protein_coding
ENSR22_C4R3W	.	E	.	enhancer
ENST00000442232	TTC28	E	.	protein_coding
XM_011530020.2	TTC28	R	.	protein_coding
ENST00000466709	RN7SL757P	E	.	misc_RNA
ENSR22_C4RDR	.	E	.	enhancer
ENSR22_9F7GF	.	E	.	enhancer
ENST00000364339	SNORD42	E	.	snoRNA
XR_007068170.1	LOC124905171	R	.	snoRNA
ENSR22_9F7PF	.	E	.	enhancer
ENSR22_B7LCR	.	E	.	enhancer
ENSR22_9F84S	.	E	.	enhancer
ENST00000490475	TTC28	E	.	protein_coding_CDS_not_defined
ENST00000362927	Y_RNA	E	.	misc_RNA
ENSR22_9F8LB	.	E	.	enhancer
ENSR22_8SJ66	.	E	.	enhancer
ENSR22_B7MBF	.	E	.	enhancer
ENSR22_D3F4Q	.	E	.	enhancer
ENST00000619803	MIR5739	E	.	miRNA
NR_106713.1	MIR5739	R	.	miRNA
ENSR22_9FB7R	.	E	.	enhancer
XR_007068041.1	LOC101929594	R	.	lncRNA
XR_007068042.1	LOC101929594	R	.	lncRNA
XR_007068043.1	LOC101929594	R	.	lncRNA
XR_007068044.1	LOC101929594	R	.	lncRNA
ENST00000468807	TTC28	E	.	retained_intron
ENST00000579233	RN7SL162P	E	.	misc_RNA
ENSR22_B7NN7	.	E	.	enhancer
ENSR22_58Q5NH	.	E	.	CTCF_binding_site
ENSR22_9FDCM	.	E	.	promoter
ENST00000348295	CHEK2	E	.	protein_coding
ENST00000382580	CHEK2	E	.	protein_coding
ENST00000402731	CHEK2	E	.	protein_coding
ENST00000403642	CHEK2	E	.	protein_coding
ENST00000404276	CHEK2	E	.	protein_coding
ENST00000405598	CHEK2	E	.	protein_coding
ENST00000416671	CHEK2	E	.	nonsense_mediated_decay
ENST00000417588	CHEK2	E	.	nonsense_mediated_decay
ENST00000425190	CHEK2	E	.	protein_coding
ENST00000433728	CHEK2	E	.	nonsense_mediated_decay
ENST00000434810	CHEK2	E	.	protein_coding
ENST00000448511	CHEK2	E	.	nonsense_mediated_decay
ENST00000456369	CHEK2	E	.	protein_coding
ENST00000464581	CHEK2	E	.	protein_coding
ENST00000472807	CHEK2	E	.	retained_intron
ENST00000648295	CHEK2	E	.	protein_coding_CDS_not_defined
ENST00000649563	CHEK2	E	.	protein_coding
ENST00000650281	CHEK2	E	.	protein_coding
ENST00000711048	CHEK2	E	.	nonsense_mediated_decay
NM_001005735.2	CHEK2	R	.	protein_coding
NM_001257387.2	CHEK2	R	.	protein_coding
NM_001349956.2	CHEK2	R	.	protein_coding
NM_007194.4	CHEK2	R	.	protein_coding
NM_145862.2	CHEK2	R	.	protein_coding
XM_006724114.4	CHEK2	R	.	protein_coding
XM_006724116.3	CHEK2	R	.	protein_coding
XM_011529839.3	CHEK2	R	.	protein_coding
XM_011529840.4	CHEK2	R	.	protein_coding
XM_011529842.3	CHEK2	R	.	protein_coding
XM_011529845.3	CHEK2	R	.	protein_coding
XM_017028560.2	CHEK2	R	.	protein_coding
XM_024452148.2	CHEK2	R	.	protein_coding
XM_024452149.2	CHEK2	R	.	protein_coding
XM_047441104.1	CHEK2	R	.	protein_coding
XM_047441105.1	CHEK2	R	.	protein_coding
XM_047441106.1	CHEK2	R	.	protein_coding
XM_047441107.1	CHEK2	R	.	protein_coding
XM_047441108.1	CHEK2	R	.	protein_coding
XR_937806.3	CHEK2	R	.	misc_RNA
ENST00000433028	CHEK2	E	.	nonsense_mediated_decay
ENST00000491919	CHEK2	E	.	retained_intron
XM_011529844.3	CHEK2	R	.	protein_coding
XR_007067954.1	CHEK2	R	.	misc_RNA
XR_007067955.1	CHEK2	R	.	misc_RNA
XR_937807.3	CHEK2	R	.	misc_RNA
ENST00000439346	CHEK2	E	.	nonsense_mediated_decay
ENST00000439200	CHEK2	E	.	protein_coding
ENSR22_C4SWT	.	E	.	enhancer
ENSR22_9FDNZ	.	E	.	promoter
ENST00000398017	CHEK2	E	.	protein_coding
ENST00000454252	CHEK2	E	.	nonsense_mediated_decay
ENST00000650233	CHEK2	E	.	protein_coding
ENST00000216027	HSCB	E	.	protein_coding
ENST00000450178	HSCB	E	.	nonsense_mediated_decay
NM_001318314.2	HSCB	R	.	protein_coding
NM_001318315.2	HSCB	R	.	protein_coding
NM_001363856.1	HSCB	R	.	protein_coding
NM_172002.5	HSCB	R	.	protein_coding
NR_134560.2	HSCB	R	.	misc_RNA
XM_005261359.5	HSCB	R	.	protein_coding
ENST00000398941	HSCB	E	.	protein_coding
ENST00000420442	HSCB	E	.	nonsense_mediated_decay
ENST00000483861	HSCB	E	.	protein_coding_CDS_not_defined
ENST00000485599	HSCB	E	.	protein_coding_CDS_not_defined
ENST00000495977	HSCB	E	.	protein_coding_CDS_not_defined
NM_001318316.2	HSCB	R	.	protein_coding
XM_017028620.3	HSCB	R	.	protein_coding
ENSR22_9FF2J	.	E	.	promoter
ENSR22_9FF4M	.	E	.	enhancer
ENSR22_B7P3J	.	E	.	enhancer
ENST00000729538	.	E	.	lncRNA
ENST00000729539	.	E	.	lncRNA
ENSR22_B7P4X	.	E	.	enhancer
ENST00000249064	CCDC117	E	.	protein_coding
ENST00000421503	CCDC117	E	.	protein_coding
ENST00000444523	CCDC117	E	.	protein_coding
ENST00000448492	CCDC117	E	.	protein_coding
ENST00000453543	CCDC117	E	.	nonsense_mediated_decay
NM_001284263.2	CCDC117	R	.	protein_coding
NM_001284264.2	CCDC117	R	.	protein_coding
NM_001284265.1	CCDC117	R	.	protein_coding
NM_173510.4	CCDC117	R	.	protein_coding
ENST00000432510	CCDC117	E	.	protein_coding
ENSR22_B7P8C	.	E	.	enhancer
ENST00000216037	XBP1	E	.	protein_coding
ENST00000344347	XBP1	E	.	protein_coding
ENST00000403532	XBP1	E	.	protein_coding
ENST00000405219	XBP1	E	.	protein_coding
ENST00000484256	XBP1	E	.	retained_intron
NM_001079539.2	XBP1	R	.	protein_coding
NM_001393999.1	XBP1	R	.	protein_coding
NM_001394000.1	XBP1	R	.	protein_coding
NM_005080.4	XBP1	R	.	protein_coding
ENSR22_C4T5R	.	E	.	enhancer
ENSR22_9FFKJ	.	E	.	enhancer
ENST00000482720	XBP1	E	.	retained_intron
ENST00000418292	.	E	.	lncRNA
ENST00000458080	.	E	.	lncRNA
ENST00000585003	.	E	.	lncRNA
ENST00000687270	.	E	.	lncRNA
ENST00000692644	.	E	.	lncRNA
ENST00000810418	.	E	.	lncRNA
ENST00000810419	.	E	.	lncRNA
ENST00000810420	.	E	.	lncRNA
ENST00000810421	.	E	.	lncRNA
ENST00000810422	.	E	.	lncRNA
ENST00000810423	.	E	.	lncRNA
ENST00000810424	.	E	.	lncRNA
ENST00000810425	.	E	.	lncRNA
ENST00000810427	.	E	.	lncRNA
ENST00000810428	.	E	.	lncRNA
ENST00000810429	.	E	.	lncRNA
ENST00000810430	.	E	.	lncRNA
ENST00000810431	.	E	.	lncRNA
ENST00000810433	.	E	.	lncRNA
ENST00000451486	.	E	.	lncRNA
ENSR22_B7PBP	.	E	.	promoter
ENSR22_D3FKP	.	E	.	enhancer
ENSR22_9FFPT	.	E	.	enhancer
ENST00000607919	.	E	.	lncRNA
ENSR22_B7PD9	.	E	.	enhancer
ENSR22_B7PDF	.	E	.	enhancer
ENST00000422972	.	E	.	lncRNA
ENST00000810434	.	E	.	lncRNA
ENSR22_9FFRQ	.	E	.	enhancer
ENST00000810426	.	E	.	lncRNA
ENST00000810432	.	E	.	lncRNA
ENST00000810435	.	E	.	lncRNA
ENSR22_9FFSL	.	E	.	promoter
ENSR22_C4T7P	.	E	.	enhancer
ENSR22_C4T82	.	E	.	enhancer
ENSR22_B7PGX	.	E	.	enhancer
ENST00000447099	BBLNP2	E	.	processed_pseudogene
XR_002958745.2	LOC107985549	R	.	lncRNA
ENST00000783694	.	E	.	lncRNA
ENST00000783695	.	E	.	lncRNA
ENST00000544604	ZNRF3	E	.	protein_coding
NM_001206998.2	ZNRF3	R	.	protein_coding
ENSR22_8SX22	.	E	.	open_chromatin_region
ENSR22_9FGMN	.	E	.	enhancer
ENSR22_C4TFT	.	E	.	enhancer
ENSR22_9FGRH	.	E	.	enhancer
ENSR22_C4TGF	.	E	.	enhancer
ENST00000402174	ZNRF3	E	.	protein_coding
NM_032173.4	ZNRF3	R	.	protein_coding
ENSR22_C4TGW	.	E	.	enhancer
ENSR22_9FH8P	.	E	.	enhancer
ENSR22_9FH9L	.	E	.	enhancer
ENST00000406323	ZNRF3	E	.	protein_coding
ENSR22_9FHMB	.	E	.	enhancer
ENST00000412798	ZNRF3-IT1	E	.	lncRNA
ENSR22_C4TP5	.	E	.	enhancer
ENST00000325660	ZNRF3-AS1	E	.	lncRNA
NR_046851.1	ZNRF3-AS1	R	.	lncRNA
ENST00000796000	ZNRF3-AS1	E	.	lncRNA
ENST00000796001	ZNRF3-AS1	E	.	lncRNA
ENST00000796002	ZNRF3-AS1	E	.	lncRNA
ENSR22_C4TR2	.	E	.	enhancer
ENSR22_9FJ5P	.	E	.	enhancer
ENSR22_C4TS2	.	E	.	enhancer
ENST00000216071	C22orf31	E	.	protein_coding
NM_001386866.1	C22orf31	R	.	protein_coding
NM_015370.2	C22orf31	R	.	protein_coding
XM_005261491.3	C22orf31	R	.	protein_coding
XM_017028741.2	C22orf31	R	.	protein_coding
ENSR22_9FJD9	.	E	.	enhancer
ENST00000728998	.	E	.	lncRNA
ENSR22_9FJGB	.	E	.	enhancer
ENST00000400335	KREMEN1	E	.	protein_coding
NM_001039570.3	KREMEN1	R	.	protein_coding
NM_032045.5	KREMEN1	R	.	protein_coding
XM_011530429.3	KREMEN1	R	.	protein_coding
XM_011530430.3	KREMEN1	R	.	protein_coding
XM_017028989.2	KREMEN1	R	.	protein_coding
ENST00000327813	KREMEN1	E	.	protein_coding
ENST00000407188	KREMEN1	E	.	protein_coding
ENSR22_C4TTZ	.	E	.	enhancer
ENSR22_C4TW6	.	E	.	enhancer
ENSR22_8T48R	.	E	.	enhancer
ENSR22_C4TWJ	.	E	.	enhancer
ENSR22_B7QS9	.	E	.	enhancer
ENSR22_B7QSR	.	E	.	enhancer
ENST00000456740	.	E	.	lncRNA
XM_011530431.3	KREMEN1	R	.	protein_coding
ENSR22_8T4ZQ	.	E	.	enhancer
ENST00000453585	KREMEN1	E	.	nonsense_mediated_decay
ENSR22_9FK3F	.	E	.	enhancer
ENSR22_9FK42	.	E	.	open_chromatin_region
ENST00000474001	KREMEN1	E	.	retained_intron
ENST00000364001	RNU6-810P	E	.	snRNA
ENST00000479755	KREMEN1	E	.	protein_coding_CDS_not_defined
ENSR22_B7R7B	.	E	.	enhancer
ENSR22_C4W4S	.	E	.	enhancer
ENSR22_B7R7X	.	E	.	enhancer
ENSR22_9FKGJ	.	E	.	enhancer
ENSR22_8T5XS	.	E	.	enhancer
ENSR22_C4W5W	.	E	.	enhancer
XR_001755475.2	LOC101929638	R	.	lncRNA
XR_001755476.2	LOC101929638	R	.	lncRNA
XR_001755477.2	LOC101929638	R	.	lncRNA
XR_001755478.2	LOC101929638	R	.	lncRNA
XR_007068045.1	LOC101929638	R	.	lncRNA
XR_007068046.1	LOC101929638	R	.	lncRNA
XR_007068047.1	LOC101929638	R	.	lncRNA
XR_007068048.1	LOC101929638	R	.	lncRNA
XR_007068049.1	LOC101929638	R	.	lncRNA
XR_007068050.1	LOC101929638	R	.	lncRNA
XR_007068051.1	LOC101929638	R	.	lncRNA
XR_007068052.1	LOC101929638	R	.	lncRNA
XR_007068053.1	LOC101929638	R	.	lncRNA
XR_007068054.1	LOC101929638	R	.	lncRNA
XR_007068055.1	LOC101929638	R	.	lncRNA
XR_007068056.1	LOC101929638	R	.	lncRNA
XR_007068057.1	LOC101929638	R	.	lncRNA
XR_244419.5	LOC101929638	R	.	lncRNA
XR_430435.4	LOC101929638	R	.	lncRNA
XR_430436.4	LOC101929638	R	.	lncRNA
XR_938130.3	LOC101929638	R	.	lncRNA
XR_938131.3	LOC101929638	R	.	lncRNA
XR_938132.3	LOC101929638	R	.	lncRNA
XR_938134.3	LOC101929638	R	.	lncRNA
XR_938136.3	LOC101929638	R	.	lncRNA
ENST00000516143	RNU6-1219P	E	.	snRNA
ENSR22_8T6NW	.	E	.	open_chromatin_region
ENSR22_58TDWM	.	E	.	CTCF_binding_site
ENSR22_9FKTS	.	E	.	enhancer
ENST00000334018	EMID1	E	.	protein_coding
ENST00000404755	EMID1	E	.	protein_coding
ENST00000404820	EMID1	E	.	protein_coding
ENST00000429226	EMID1	E	.	protein_coding
ENST00000430127	EMID1	E	.	protein_coding
ENST00000435427	EMID1	E	.	nonsense_mediated_decay
NM_001267895.2	EMID1	R	.	protein_coding
NM_001410828.1	EMID1	R	.	protein_coding
NM_133455.4	EMID1	R	.	protein_coding
XM_005261329.4	EMID1	R	.	protein_coding
XM_011529868.4	EMID1	R	.	protein_coding
XM_011529869.4	EMID1	R	.	protein_coding
XM_011529870.4	EMID1	R	.	protein_coding
XM_011529871.4	EMID1	R	.	protein_coding
XM_011529872.4	EMID1	R	.	protein_coding
XM_011529873.4	EMID1	R	.	protein_coding
XM_047441133.1	EMID1	R	.	protein_coding
XM_047441134.1	EMID1	R	.	protein_coding
XM_047441135.1	EMID1	R	.	protein_coding
XM_047441136.1	EMID1	R	.	protein_coding
XM_047441137.1	EMID1	R	.	protein_coding
XR_937808.4	EMID1	R	.	misc_RNA
XR_937810.4	EMID1	R	.	misc_RNA
ENSR22_C4W8G	.	E	.	enhancer
ENSR22_B7RH5	.	E	.	enhancer
